mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta2_1,delta2_2,delta2_3,delta2_4,delta2_5,delta2_6,delta2_7,delta2_8,delta2_9,delta2_10,delta2_11,delta2_12,delta2_13,delta2_14,delta2_15,delta2_16,delta2_17,delta2_18,delta2_19,delta2_20,delta2_21,delta2_22,delta2_23,delta2_24,delta2_25,delta2_26,delta2_27,delta2_28,delta2_29,delta2_30,Emotion
-743.2447,80.021996,6.3237553,15.321223,2.5775335,14.686853,-6.1189127,1.6816628,-6.521548,-7.967875,-4.022857,1.5604817,-5.040888,-2.778102,-3.847126,-5.8498096,-4.0558257,1.982787,-5.2157583,-8.673824,-4.121556,-3.4964235,-3.9626648,-5.659582,-4.5729437,-2.6235275,-5.1126037,-3.8001184,-4.3947835,-3.4265695,0.07141071,0.08167093,0.047709182,0.020439455,0.002912083,-0.002065294,-0.00097237795,0.0051769037,0.00994099,0.0075420896,0.0013996927,-0.0077069593,-0.01470113,-0.01578881,-0.011761358,-0.0080270525,-0.0073702354,-0.0074017993,-0.011228807,-0.016333105,-0.017816013,-0.01698238,-0.015856452,-0.01486874,-0.013153863,-0.015359461,-0.020522205,-0.021389049,-0.018420428,-0.01344563,0.0034319279,0.006963792,0.006639335,0.005440103,0.0062075383,0.005170101,0.004336155,0.0011836102,-0.0021053113,-0.005276165,-0.009342503,-0.008684532,-0.0056047705,-0.0039332565,-0.0032884318,0.0002483529,0.0048023723,0.0045670164,0.0026738413,8.5157044e-05,-0.0020907694,-0.00361423,-0.0058071236,-0.004580083,-0.0015096271,0.0011823672,0.0029409195,0.004144703,0.007109677,0.00798312,1
-696.6906,52.449432,-4.731711,7.8952413,-2.4551656,-3.2393637,-12.658906,-2.6909354,-14.994215,-7.331119,-3.8012714,-5.794947,-5.8526034,-3.75932,-3.2790945,-6.0290937,-3.8924053,-2.9003558,-4.873281,-3.6817858,-4.847766,-1.3389919,-4.3056703,-1.2163956,-0.56061745,0.62265193,1.2526557,2.8250341,2.566996,2.8857515,-1.658564e-06,-2.3219895e-06,-2.2883e-06,-2.2442443e-06,-2.1975973e-06,-2.1548374e-06,-2.0939372e-06,-2.021375e-06,-1.9280808e-06,-1.842561e-06,-1.7389008e-06,-1.627466e-06,-1.5160311e-06,-1.385808e-06,-1.249106e-06,-1.1091647e-06,-9.744064e-07,-8.273384e-07,-6.7379165e-07,-5.2089274e-07,-3.6669815e-07,-2.0991202e-07,-6.4787656e-08,9.847724e-08,2.539676e-07,4.0427497e-07,5.532866e-07,6.997067e-07,8.500141e-07,9.640404e-07,-1.4134075e-05,-1.9927387e-05,-1.9788095e-05,-1.9539957e-05,-1.9177147e-05,-1.8731731e-05,-1.8191726e-05,-1.7555512e-05,-1.6831833e-05,-1.6020693e-05,-1.5142981e-05,-1.4179427e-05,-1.3156753e-05,-1.2067997e-05,-1.09138045e-05,-9.72074e-06,-8.472282e-06,-7.19143e-06,-5.8879023e-06,-4.555868e-06,-3.2034256e-06,-1.852927e-06,-4.93358e-07,8.5746467e-07,2.198893e-06,3.5153782e-06,4.7994695e-06,6.066716e-06,7.263668e-06,8.432761e-06,4
-439.7749,63.331932,-13.530379,1.2288487,-5.1960254,8.056468,-12.465603,2.0261395,-7.6130176,-1.1167723,-0.70649666,-1.0582895,0.4923272,3.6725235,-3.4119287,2.2282202,-0.44276935,-2.593429,-0.036008596,2.4415724,0.07201266,1.3249186,5.6171775,6.9642363,4.713142,4.8130417,3.7374566,4.5630913,1.3163146,2.190962,-0.043856904,-0.0339625,0.022711203,0.05524334,0.04120935,0.008133797,-0.0016083742,0.022350632,0.051633377,0.05460858,0.02980313,0.0018337911,-0.00869699,-0.0036651094,0.0026630468,0.0035046765,0.003923586,0.008985595,0.0151077,0.015751075,0.011430738,0.009268339,0.01305052,0.017820323,0.016281495,0.008252051,0.0008428109,-0.00034259073,0.0025989974,0.003576101,-0.0063321386,-0.008344537,-0.0064799497,-0.00336419,0.0007392839,0.0051359027,0.008719625,0.0102415765,0.008836118,0.004678553,-0.0006576351,-0.004744316,-0.0058226855,-0.0042710197,-0.0024505998,-0.002562681,-0.0043459944,-0.0051634773,-0.0028321526,0.0016065268,0.0043888027,0.0026708613,-0.0024335273,-0.0067806593,-0.0072204648,-0.0044797864,-0.0019810486,-0.002105813,-0.0039526406,-0.0046946555,5
-661.4356,65.55791,8.9505205,13.474436,-1.3497459,12.815387,-8.417333,1.1835107,-13.160005,-10.856378,-1.8198425,0.14949027,-0.9238708,-6.955705,-2.9709327,-1.892667,-5.1926527,2.3949113,-2.2035131,-3.4559996,-4.517016,-3.9179323,-3.3265178,-6.6867146,-6.2551613,-0.51673365,-2.962308,-1.4861488,2.2597678,5.2417808,-0.06147266,-0.00010532444,-0.041189894,0.0012558732,-0.0018918474,0.02499229,0.028356176,0.023866106,0.029173017,0.0138325775,0.016064119,-0.006820075,-0.012730469,-0.005335716,0.0013529945,-0.017130092,0.010013025,0.0013224095,0.0013036539,-0.007854036,0.0033591911,-0.0065779374,-0.007794057,-0.014326963,-0.0047525363,-0.005403031,0.0039967736,-0.0023641821,0.017048968,0.007024679,-0.07819915,-0.025630094,-0.06867754,-0.009043914,-0.014509546,0.017543836,0.0495081,0.020619862,0.02589638,0.023829628,0.0018947953,-0.010783885,-0.018971967,-0.011835034,-0.013373415,-0.02253142,0.00047956753,-0.0016227277,0.009001218,-0.013285835,0.0009772386,-0.0060278242,-0.012570303,-0.020021563,0.001010163,-0.0051786946,-0.0014553467,-0.0031429501,0.019408904,0.006656426,6
-725.63336,80.54773,-1.6633581,14.152161,15.049745,12.581918,-5.947236,6.7639174,-3.3187678,-2.358029,2.3935778,-1.4931307,0.4023096,-0.8629655,-3.6677742,1.3747319,-1.2355098,0.64653265,-1.5737725,-3.356581,0.2111671,-0.40142697,-0.8456901,-0.27333125,0.09495731,0.014595475,-0.9239778,-0.112482645,0.20670868,0.07921716,0.029430656,0.026310012,-0.0028286425,-0.014426896,-0.0009477832,0.013326346,0.008481048,-0.0068030106,-0.014132963,-0.0120202135,-0.012666181,-0.018122314,-0.01691703,-0.005959769,0.001990468,-0.0030447966,-0.013146539,-0.013690732,-0.0045171063,0.0024146785,0.0011996197,-0.003949628,-0.006453958,-0.003976162,0.0003442681,0.0025289753,0.0011271945,-0.0011773428,0.001289466,0.008963184,0.004359884,0.010887069,0.016316753,0.013163633,0.00594357,0.001813465,0.001936297,0.0022547182,-0.0004330437,-0.0026528586,-0.0011985122,0.0005238323,-0.0007014684,-0.0026800008,-0.0020574997,0.000101486614,0.00036071482,-0.0012323787,-0.0021847226,-0.0016933555,-0.0014529842,-0.003242799,-0.005138575,-0.0043815603,-0.0025581198,-0.0023790717,-0.0037027479,-0.004016403,-0.0020321019,-0.0007850327,3
-749.3791,79.9071,4.493168,12.238165,9.947165,14.850659,-0.7768699,3.0620332,1.8318692,0.86208826,-2.864493,1.0893272,4.282707,2.0901978,-1.8929365,0.870636,0.50763255,-0.12596643,1.3195233,0.85695165,-1.5210465,-0.755091,1.9294522,1.1536021,-2.000414,-0.15511067,0.20601079,-1.3410121,-1.961321,-0.76001793,-0.011120832,-0.01570624,-0.015644351,-0.015543018,-0.015404998,-0.015233281,-0.015030813,-0.014800087,-0.014542718,-0.014259531,-0.013950469,-0.013615123,-0.013252918,-0.012863796,-0.012448405,-0.0120085385,-0.011547021,-0.011067873,-0.010575422,-0.01007438,-0.0095690815,-0.009063116,-0.008559079,-0.008058467,-0.007561837,-0.007069158,-0.0065801763,-0.0060949503,-0.0056141834,-0.0051394776,-0.0076055466,-0.010742656,-0.0107034575,-0.0106402235,-0.01055565,-0.010452813,-0.0103345625,-0.010203068,-0.01005941,-0.00990358,-0.009734484,-0.009550467,-0.009349644,-0.009130587,-0.008892709,-0.008636653,-0.008364261,-0.008078626,-0.007783329,-0.0074823005,-0.007179023,-0.006876148,-0.0065751635,-0.006276321,-0.005978796,-0.0056811403,-0.005381699,-0.005079257,-0.0047734277,-0.0044649574,3
-729.1693,90.1437,12.327232,20.497631,9.352199,19.557446,0.5562979,14.280352,4.357327,-4.498666,-1.4825302,4.6134906,1.9172211,-2.6682963,3.875738,5.2579193,0.74755967,0.34654465,3.1922834,-0.3912121,0.6720806,-1.6919196,-0.75969964,2.4869876,-1.4580157,0.49093467,-0.73948854,0.27888694,0.5456428,-1.027985,-0.016226135,-0.012395223,0.007677377,0.015457121,0.003068886,-0.0151900705,-0.019300954,-0.0055392827,0.010545763,0.012432246,0.0006562094,-0.009297087,-0.005288377,0.0086176405,0.018370606,0.01626157,0.008042205,0.0041252417,0.0070825364,0.010399855,0.0083720675,0.0036346295,0.0030408592,0.0079299165,0.0117286425,0.008134282,-0.00048128085,-0.005248766,-0.0012460502,0.006431347,0.0044581257,0.009305348,0.014394189,0.01474624,0.009258247,0.0041237487,0.0052562794,0.010839575,0.013300845,0.008519342,0.0011021331,-0.0008615429,0.0045466493,0.010584927,0.009648202,0.0022150367,-0.003595393,-0.0013291028,0.00650057,0.011458537,0.008795752,0.0024696565,0.00016180403,0.0045025703,0.010583133,0.012009659,0.007975205,0.0033901974,0.0027326718,0.005286829,1
-626.59625,87.78196,4.348184,9.70811,8.2470455,20.610826,-0.8533848,5.001571,0.5073172,-1.777147,3.5349007,2.5369508,2.610614,2.6088367,3.7133055,3.2440934,-0.7436215,4.941941,3.3099225,-0.4355831,0.59211415,-0.6884229,2.118418,0.7884562,-1.4821451,1.3007892,-0.03962915,0.27354437,0.8006976,0.6192158,0.0857035,0.10043699,0.058435664,0.030114159,0.025391335,0.029057818,0.028677465,0.025534634,0.023335451,0.021669144,0.020517925,0.021226382,0.022683503,0.022515269,0.021071693,0.020150248,0.019724594,0.019089535,0.018871987,0.019357312,0.0192349,0.017952893,0.016918948,0.016938098,0.016887095,0.01601817,0.015177865,0.014871007,0.014364143,0.013344183,0.06508225,0.07383986,0.037090037,0.012233107,0.00737832,0.008945733,0.006832509,0.003369579,0.00208996,0.0016610399,0.00079960155,0.0002241394,-0.0003842011,-0.0018645241,-0.003042927,-0.0025966384,-0.0017579632,-0.0022572945,-0.0035833404,-0.004456811,-0.0048249317,-0.0047609475,-0.0037307297,-0.0023015519,-0.0022687041,-0.0039252713,-0.005288511,-0.004881473,-0.0034025172,-0.0021932463,7
-621.7809,72.60584,-2.7054505,10.049998,0.8011317,6.3649035,-13.983368,0.17556038,-11.82093,-12.594958,-2.658961,-3.1427228,-5.5130453,-7.9204984,-2.6952019,-1.1876166,-9.055951,1.4285878,0.19025798,-6.9024224,-3.7847233,-2.783406,-3.953234,-4.562752,-1.9906931,0.74661446,2.6671908,4.624258,3.0661955,2.5366716,0.037855327,0.04434218,0.024364393,0.008627077,0.004595614,0.005927936,0.0011414498,-0.012743478,-0.026404573,-0.027935535,-0.0152591625,0.0018400679,0.011580722,0.011178046,0.007952375,0.010453005,0.019391522,0.02729893,0.026348216,0.016006416,0.0032827633,-0.0039601484,-0.0038501504,-0.0012820578,-0.002449016,-0.008588629,-0.014786563,-0.014807401,-0.0072701476,0.0028067182,-0.0032427728,-0.0019957502,0.0029935173,0.005008222,0.0017567843,-0.0037007763,-0.00635254,-0.0044392496,-0.0009432693,-0.00013694198,-0.0031536089,-0.0071016834,-0.008159715,-0.005174741,-0.0003901081,0.00284132,0.0028688405,0.0007366483,-0.0010390565,-0.0006475461,0.0015553476,0.0033847697,0.002816629,7.7409226e-05,-0.0022006503,-0.0013412224,0.002495783,0.0059600896,0.0055216756,0.0010564893,6
-792.5322,87.73821,0.13111974,20.92621,12.937468,25.550768,0.41401348,0.21056505,-6.961643,-1.7019571,-2.9791722,-1.6395694,1.165861,-5.620117,-4.1793766,0.14063866,-2.501355,0.06463783,0.58638626,0.16544688,0.18396744,-1.8915046,-1.9839184,1.5863507,-1.173922,0.52030504,-1.3823434,-1.1046829,0.18433362,-0.60973144,0.06383614,0.057874598,0.030704215,0.023820922,0.0040321876,0.015541135,0.01811672,0.017182855,0.03538538,0.024356678,0.003765038,0.0064837695,0.0117218755,0.0024805367,0.009681614,0.0010837691,-0.0026463969,-0.002009235,0.011492448,0.010713531,-0.005059023,-0.0044223573,0.0041952254,0.01406432,0.021031465,0.022803301,-0.007474919,-0.013642406,0.0042139525,-0.007493589,-0.015414913,0.0015057322,-0.005718263,-0.0002843108,-0.010116506,-0.017318282,-0.00824252,0.007808956,0.004966031,-0.0030167957,-0.007441544,-0.0049228556,-0.0075105266,-0.0013670055,-0.00081824523,-0.010435224,-0.020726258,-0.010513582,-0.0018001237,0.0063185045,0.01704173,0.0052585443,0.015543284,-0.0024647247,0.001935415,0.0027922597,-0.012203997,-0.0057774424,0.0007059155,0.0032656663,4
