mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta2_1,delta2_2,delta2_3,delta2_4,delta2_5,delta2_6,delta2_7,delta2_8,delta2_9,delta2_10,delta2_11,delta2_12,delta2_13,delta2_14,delta2_15,delta2_16,delta2_17,delta2_18,delta2_19,delta2_20,delta2_21,delta2_22,delta2_23,delta2_24,delta2_25,delta2_26,delta2_27,delta2_28,delta2_29,delta2_30,Emotion
-690.2942,73.82632,1.7218273,12.462346,1.2924443,13.2288065,-9.041551,2.1776004,-10.385035,-7.7230544,-4.4707503,1.0337663,-6.741749,-1.6965894,-5.71351,-5.3943563,-2.469208,1.2741086,-9.383117,-6.872721,-3.9384272,-3.2621999,-4.7494245,-5.929802,-3.2200944,-4.4877453,-4.9609895,-4.3469605,-4.107412,-3.1417487,0.06889917,0.081927754,0.049824532,0.019490698,-0.0002574614,-0.0065157176,-0.0026866875,0.006092572,0.010048747,0.0063483184,-0.0026146614,-0.014974628,-0.023430226,-0.023618074,-0.019286186,-0.016209943,-0.014478451,-0.01484598,-0.018436095,-0.021394024,-0.02228604,-0.020065207,-0.017483052,-0.017572168,-0.019720348,-0.025266936,-0.027386878,-0.022077432,-0.01467467,-0.008102233,0.018129092,0.023008632,0.016138567,0.010850526,0.00953472,0.008434984,0.005576937,0.0015232601,-0.00067039626,-0.0018018205,-0.0030992215,-0.0027364558,-0.0014924175,-0.00012989127,0.0024590737,0.0062661194,0.008012902,0.006316199,0.00274254,-0.0013439555,-0.0041768323,-0.0061613424,-0.005758083,-0.0020757047,0.0009723066,0.0016856665,-0.00022887992,-0.001841994,-0.0009795317,-0.00094420195,1
-636.5196,48.783524,-7.4744077,6.5559344,-4.0995502,-4.7544823,-12.852277,-2.8848462,-17.08952,-4.7305775,-5.3999195,-4.958252,-6.0258875,-1.9670479,-4.185478,-5.3592725,-2.8364627,-3.2852006,-4.0408134,-3.9928372,-3.1311455,-1.6769947,-3.5195017,0.57455426,-0.0004993523,1.9580866,2.503681,4.1730857,3.4233918,4.866728,4.0433383e-06,5.5355226e-06,5.4693373e-06,5.4512866e-06,5.439253e-06,5.379084e-06,5.330949e-06,5.2993605e-06,5.246713e-06,5.1684938e-06,5.1053166e-06,5.0301055e-06,4.942861e-06,4.8582488e-06,4.759346e-06,4.6570594e-06,4.551764e-06,4.434435e-06,4.3171062e-06,4.1817266e-06,4.0516115e-06,3.9184883e-06,3.7770917e-06,3.6281742e-06,3.4777524e-06,3.3122883e-06,3.1573538e-06,2.9843688e-06,2.7918288e-06,2.641407e-06,-9.578861e-06,-1.3483812e-05,-1.3464257e-05,-1.3416122e-05,-1.3355201e-05,-1.3267204e-05,-1.3172438e-05,-1.3052853e-05,-1.2916721e-05,-1.2763291e-05,-1.2597075e-05,-1.2404018e-05,-1.2205226e-05,-1.1980345e-05,-1.1741927e-05,-1.1491475e-05,-1.122034e-05,-1.0940555e-05,-1.0635386e-05,-1.0330595e-05,-9.99929e-06,-9.65708e-06,-9.310546e-06,-8.93656e-06,-8.567745e-06,-8.175238e-06,-7.777936e-06,-7.3601395e-06,-6.9427188e-06,-6.5034874e-06,4
-382.56387,60.59212,-16.05237,0.2275718,-6.028326,6.6749372,-14.198147,3.1454942,-10.680251,0.8066892,-3.2343447,-0.4132444,0.27324656,2.995809,-4.3627744,4.057611,-3.377378,-1.2017883,0.034571834,2.3635411,-1.0250518,3.6613731,6.6208744,6.0576463,4.531475,4.171986,4.460098,2.6274443,1.542799,1.3438512,-0.059914727,-0.048166793,0.024533864,0.06372799,0.042828463,0.00158608,-0.005398347,0.029464332,0.06463142,0.06167168,0.025885634,-0.007544087,-0.016002707,-0.0074658575,-0.00044721764,0.0005421221,0.0036527088,0.011892359,0.017473271,0.014523779,0.009088553,0.011055094,0.019776314,0.024026655,0.016491726,0.0031867875,-0.004188945,-0.0020740721,0.002616819,0.002798402,-0.004000661,-0.006079098,-0.0062619285,-0.0042667408,0.0003651954,0.0059412993,0.010077894,0.0113346055,0.009526735,0.0053568706,0.00044097603,-0.0028446424,-0.00286216,-0.0006420553,0.0004753785,-0.0017770727,-0.005570164,-0.006357642,-0.0019280508,0.0044710925,0.0070114248,0.0033855396,-0.0027170856,-0.0056475243,-0.0037455142,-0.0005329281,-0.00020756458,-0.002956399,-0.0052520353,-0.004148568,5
-613.21375,62.50866,6.041717,11.459716,-1.719408,12.494757,-10.343971,2.3547015,-17.791718,-7.765184,-2.226724,2.2136807,-2.775144,-5.9305534,-0.7007298,-2.5642977,-2.739555,3.22238,-3.5848234,-2.363719,-4.997578,-2.2984455,-4.501578,-7.2888193,-2.629145,-0.48611566,-2.9226267,1.3877201,5.1385903,6.368093,-0.109507374,-0.018524695,-0.06953738,-0.007842592,0.0025196387,0.039871678,0.056337412,0.035720125,0.0553421,0.020687785,0.026380723,-0.030437106,-0.026847845,-0.010624238,-0.013062677,-0.02911689,0.022179775,-0.0030000946,0.0053598937,-0.0029330645,0.020017214,-0.0064367796,-0.010080556,-0.013838858,-0.0022902223,0.0032874092,-0.0024814825,0.013165121,0.025328176,0.0028375844,-0.080385886,-0.03438659,-0.071830116,-0.014141361,-0.016384695,0.018782305,0.063471034,0.007939137,0.0341804,0.020895213,0.0016514204,-0.015827447,-0.016397541,-0.009689797,-0.021427294,-0.01665687,0.0024748466,0.008491112,0.009168638,-0.012556266,0.011184535,-0.0072764335,-0.017122818,-0.0077470834,0.009169977,-0.0052245916,-0.0051029283,0.009259704,0.017479667,0.0054760645,6
-667.5323,73.850845,-5.7355766,13.527099,13.991524,9.697798,-6.887606,7.609772,-6.383377,-0.23278563,0.5220764,-1.0557276,0.5060491,-2.3076642,-2.4866393,1.815091,-1.5802121,1.5029273,-3.7865224,-1.5731182,0.38986817,-0.28878587,-0.33472338,0.03680317,0.3833381,-0.70206577,-0.22098723,0.6226049,1.2953074,-0.7983914,0.028035482,0.02822786,0.0070720376,-0.0008960557,0.008317537,0.016626852,0.010569948,-0.0017121601,-0.006602862,-0.005848281,-0.009714098,-0.016626958,-0.015191025,-0.0055329166,-0.0016638181,-0.009460613,-0.017782565,-0.015670998,-0.0064062895,-0.00027802336,-0.0010499794,-0.004182353,-0.004377211,-0.00035343107,0.0052164122,0.007812651,0.006457059,0.0064922166,0.012232716,0.019576997,-0.005516682,-0.0010503486,0.009562933,0.009729603,0.0004451901,-0.0063686445,-0.0056309635,-0.0030929877,-0.0034647519,-0.0038247928,-0.0015968988,-0.00038503957,-0.0032698133,-0.0072104507,-0.007625034,-0.004484283,-0.0018271095,-0.0022485345,-0.004109349,-0.0051891496,-0.00551107,-0.0052663363,-0.00395081,-0.0020509826,-0.0009918252,-0.0013186863,-0.0017140321,-0.0010138939,-0.0006029935,-0.0013548204,3
-682.03754,75.28767,2.334316,10.856127,9.378048,12.7722845,-2.702479,2.9861054,0.03178603,-0.15907654,-3.9937932,2.0121102,3.475675,0.39866245,-2.5371225,1.3515637,-0.8695879,-0.040449027,0.81101215,-0.22190933,-2.2444992,0.2525759,2.1233866,-0.8915003,-1.8848667,0.21919169,-1.0368994,-2.3624918,-1.6894139,0.19415902,-0.011990236,-0.016944366,-0.016907081,-0.016845146,-0.016758922,-0.016648615,-0.016514663,-0.016357627,-0.016178139,-0.015976796,-0.015754487,-0.015512046,-0.015250378,-0.014970468,-0.014673395,-0.014360243,-0.014032208,-0.013690417,-0.013336165,-0.012970689,-0.012595277,-0.012211208,-0.0118198125,-0.011422372,-0.011020196,-0.010614542,-0.010206717,-0.009797941,-0.009389427,-0.008982345,-0.0002671997,-0.0003786976,-0.0003808852,-0.000384523,-0.00038960672,-0.00039608078,-0.00040397508,-0.0004131717,-0.00042369802,-0.00043551342,-0.00044852388,-0.00046268414,-0.00047793952,-0.0004942148,-0.00051142514,-0.0005295114,-0.00054836104,-0.000567931,-0.0005880855,-0.0006087348,-0.0006297763,-0.00065110787,-0.000672613,-0.0006941886,-0.0007157125,-0.00073706923,-0.00075814204,-0.0007788105,-0.00079895306,-0.00081844506,3
-667.41656,85.172585,10.067234,18.215038,9.409761,17.708342,-0.5789985,15.100253,-0.15711349,-4.896917,-1.891844,5.0525923,-0.88538384,-1.675214,4.552075,3.8783016,-1.0852026,1.4997449,1.554444,-0.86759716,0.16369861,-3.049638,1.6412017,0.32097152,-1.2029011,0.066103294,-1.0425261,0.86293626,-1.1237789,-0.39147818,-0.024740763,-0.023556741,-0.001702555,0.0072958926,-0.004668842,-0.022177551,-0.024413873,-0.008301259,0.009494838,0.012510136,0.00238531,-0.005101188,0.00071722624,0.014137009,0.021606663,0.017913183,0.0105278855,0.008756936,0.012610983,0.014727356,0.011165676,0.0063622203,0.006381826,0.010209392,0.010909892,0.005064383,-0.0021314786,-0.0030902175,0.0024228538,0.0066061756,-0.0010004265,0.0019770947,0.00814076,0.009852593,0.005299931,0.00012920234,0.0005377981,0.005847826,0.0095137665,0.007198696,0.0020117823,0.00056601124,0.004744176,0.009260325,0.008032202,0.0016835873,-0.0028935387,-0.00048559075,0.006346488,0.01014139,0.0069634877,0.0006587588,-0.0016831404,0.002440131,0.008633263,0.010834495,0.0076745227,0.003080506,0.0013864347,0.003058638,1
-570.9727,82.454575,-0.627448,6.3104706,6.76024,17.478443,-4.5266566,4.943317,-3.619252,-1.8275228,1.8280244,1.3610882,1.3965749,2.0225875,3.459744,1.3195492,-0.2619993,5.92103,0.4590437,0.03947026,-0.43908134,0.056243308,2.4881227,-1.2385219,-0.071434475,1.0222167,-0.29476917,0.8665449,0.8554643,0.2628307,0.08577977,0.105553076,0.070638746,0.04105337,0.03022859,0.0321836,0.033679668,0.029299151,0.023134887,0.020092813,0.02014108,0.020558689,0.020038906,0.018980525,0.017637568,0.01589397,0.014307323,0.013866943,0.014585676,0.015278392,0.015022261,0.01419916,0.01376973,0.014010795,0.014401007,0.014445944,0.014112078,0.013513849,0.012651916,0.011649617,0.06350538,0.07628196,0.046268128,0.02060902,0.010558451,0.010997886,0.011188868,0.007338272,0.0031394223,0.0018843475,0.0022515415,0.0014787498,-0.0006470956,-0.002363391,-0.0028242355,-0.0028382398,-0.0033120716,-0.0042477986,-0.005244072,-0.006034913,-0.0063217646,-0.0058002807,-0.004765876,-0.00422831,-0.004904592,-0.0062473193,-0.006912414,-0.0062412373,-0.0049908706,-0.0044763507,7
-563.4838,65.143135,-6.7383914,7.485099,-0.39181465,3.966849,-14.737518,1.1153436,-15.513076,-9.763193,-2.870433,-3.3952491,-6.5677686,-6.925547,0.16743547,-2.9427376,-6.236102,5.4453115,-2.8537993,-4.826206,-1.9639688,-1.9209691,-3.5792577,-2.6971714,0.69650495,2.783947,5.588053,5.495755,3.7878342,4.4384027,0.03018481,0.033115823,0.012876179,-0.0016104047,-0.0030391945,0.00035721099,-0.004383841,-0.01942948,-0.03316441,-0.032632187,-0.017372549,0.00025910817,0.007970119,0.0053397194,0.0024331715,0.007795071,0.019156616,0.02619432,0.021506147,0.00800368,-0.004377708,-0.008483906,-0.006103524,-0.0048461854,-0.009616949,-0.017469686,-0.020690713,-0.01465818,-0.0025280935,0.007785423,0.001607568,0.0034652841,0.005515444,0.005523733,0.002400344,-0.0019059252,-0.004398149,-0.003999765,-0.0023421848,-0.0017270828,-0.0026298198,-0.003375506,-0.0021204434,0.001093207,0.0042766663,0.005309529,0.0037505869,0.0010251075,-0.00096303615,-0.0014141651,-0.0010716958,-0.0012817272,-0.0025857098,-0.004111811,-0.0043500504,-0.002662092,-9.532888e-05,0.0014182839,0.00085831474,-0.00084217475,6
-729.78625,88.38609,-1.9580165,21.26022,11.883625,25.393309,-3.988826,0.7458808,-10.428549,0.29728845,-6.0643063,0.55083776,-2.131998,-6.25358,-4.05518,-0.10450996,-3.574589,0.9208635,-0.8544036,0.17395088,-0.9931063,-3.0651526,-0.3389649,0.11311458,-1.1754539,-0.37356648,-2.4374275,-0.5551717,-0.41140476,-1.6387471,0.06559287,0.062783666,0.03887567,0.020034578,-0.0054552844,0.007989052,0.011407711,0.021229165,0.03405608,0.010105563,-0.0074420837,0.0015446609,0.012140217,0.021851648,0.021703409,0.009928453,0.008168251,0.012339203,0.016529057,0.0064838147,-0.0011810674,0.000678228,0.010099006,0.02133956,0.028261848,0.0077178045,-0.024192989,-0.014329009,-0.011382988,-0.010323105,-0.058826227,-0.02076865,0.0049534207,-0.00865379,-0.006422669,-0.010417225,0.0063268365,0.0110305175,0.010816549,-0.0021793141,-0.0026848563,0.0014053127,-0.0045835297,-0.008565345,-0.0109469695,-0.015035315,-0.015584302,-0.008688137,-0.0016481812,0.0051898872,0.00643893,0.0070908912,0.0025068673,-0.0055674156,0.0009003602,-0.007963338,-0.008905146,-0.003926041,-0.0012108749,0.013055923,4
